Sample ID,Date,UVM: Total Nitrogen (mg/L),UVM: Total Phosphorus (ug/L),DEC: Total Nitrogen (mg/L),DEC Total Phosphorus (ug/L),Lab Sample ID,Site,Depth,Date2,TN2,TP2,DP
2000519-001,2020-06-12 ,0.34,19.3,0.36,18.6,0001 C3 A .2M 1118,3,0.2,2020-05-07 ,0.24,16.0,8.9
2000519-002,2020-06-13 ,0.36,12.9,,,0002 C3 A 2M 1120,3,2,2020-05-07 ,0.25,18.4,9.5
2000519-003,2020-06-14 ,0.31,15.4,,,0003 C2 A .2M 1220,2,0.2,2020-05-07 ,0.24,16.2,8.6
2000519-004,2020-06-15 ,0.33,12.8,,,0004 C2 A 2M 1222,2,2,2020-05-07 ,0.24,19.0,7.9
2000519-005,2020-06-16 ,0.32,18.3,,,0005 C2 A 4M 1224,2,4,2020-05-07 ,0.24,21.3,9.2
2000519-006,2020-06-17 ,0.3,26.2,,,0006 C2 A 6M 1226,2,6,2020-05-07 ,0.25,23.8,8.4
2000519-007,2020-06-18 ,0.32,36.2,,,0007 C2 D .2M 1228,2,0.2,2020-05-07 ,0.26,15.5,7.4
2000519-008,2020-06-19 ,0.28,33.2,,,0008 C2 B .2M 1230,2,0.2,2020-05-07 ,<0.10,<5.0,<5.0
2000519-009,2020-06-20 ,0.27,15.4,,,0009 C1 A .2M 1020,1,0.2,2020-05-14 ,0.30,19.6,9.8
2000519-010,2020-06-21 ,0.32,25.1,,,0010 C1 A 2M 1022,1,2,2020-05-14 ,0.31,22.5,10.4
2000519-011,2020-06-22 ,0.29,19.2,,,0011 C1 A  4M 1024,1,4,2020-05-14 ,0.35,22.9,10.1
2000519-012,2020-06-23 ,0.38,36.3,,,0012 C1 A 6M 1026,1,6,2020-05-14 ,0.32,32.3,12.3
2000519-013,2020-06-24 ,0.33,19.6,,,0013 C1 A 8M 1028,1,8,2020-05-14 ,0.35,22.3,10.2
2000519-014,2020-06-25 ,0.33,16.9,0.35,17.9,0014 C3 A .2M 1114,3,0.2,2020-05-14 ,0.32,22.1,9.3
2000593-001,2020-06-26 ,0.35,30.9,,,0015 C3 A 2M 1116,3,2,2020-05-14 ,0.33,38.6,11.1
2000593-002,2020-06-27 ,0.31,23.2,,,0016 C2 A .2M 1144,2,0.2,2020-05-14 ,0.34,18.0,9.3
2000593-003,2020-06-28 ,0.46,45,,,0017 C2 A 2M 1146,2,2,2020-05-14 ,0.32,17.5,9.5
2000593-004,2020-06-29 ,0.55,70.8,,,0018 C2 A 4M 1148,2,4,2020-05-14 ,0.33,21.3,10
2000593-005,2020-06-30 ,0.33,22.5,,,0019 C2 A 6M 1150,2,6,2020-05-14 ,0.34,20.9,10.1
2000593-006,2020-07-01 ,1.24,253,,,0020 C2 D .2M 1152,2,0.2,2020-05-14 ,0.33,16.7,9.9
2000593-007,2020-07-02 ,1.15,311,,,0021 C2 B .2M 1154,2,0.2,2020-05-14 ,<0.10,<5.0,<5.0
2000593-008,2020-07-03 ,0.6,155,,,0022 C1 A .2M 1108,1,0.2,2020-05-21 ,0.31,14.4,9.6
2000593-009,2020-07-04 ,0.52,103,,,0023 C1 A 2M 1110,1,2,2020-05-21 ,0.34,17.8,8.7
2000593-010,2020-07-05 ,0.49,106,,,0024 C1 A 4M 1112,1,4,2020-05-21 ,0.32,17.6,10.2
2000593-011,2020-07-06 ,0.47,43.1,,,0025 C1 A 6M 1114,1,6,2020-05-21 ,0.32,17.4,10.3
2000593-012,2020-07-07 ,0.59,74.4,,,0026 C1 A 8M 1116,1,8,2020-05-21 ,0.33,24.9,8.6
2000593-013,2020-07-08 ,0.47,34.6,,,0027 C3 A .2M 1206,3,0.2,2020-05-21 ,0.31,13.2,7.5
2000593-014,2020-07-09 ,0.49,158,0.45,23.8,0028 C3 A 2M 1208,3,2,2020-05-21 ,0.39,18.2,8.6
2000683-001,2020-07-10 ,0.88,76.7,,,0029 C2 A .2M 1236,2,0.2,2020-05-21 ,0.33,14.4,7.5
2000683-002,2020-07-11 ,0.62,80.5,,,0030 C2 A 2M 1238,2,2,2020-05-21 ,0.32,15.1,7.6
2000683-003,2020-07-12 ,0.61,91.6,,,0031 C2 A 4M 1240,2,4,2020-05-21 ,0.31,16.0,8.9
2000683-004,2020-07-13 ,0.54,29.1,,,0032 C2 A 6M 1242,2,6,2020-05-21 ,0.31,18.5,6.9
2000683-005,2020-07-14 ,0.6,132,,,0033 C2 D .2M 1244,2,0.2,2020-05-21 ,0.30,12.9,7.5
2000683-006,2020-07-15 ,0.64,93.9,,,0034 C2 B 2M 1246,2,2,2020-05-21 ,<0.10,<5.0,<5.0
2000683-007,2020-07-16 ,0.48,42.3,,,0035 C1 A .2M 1132,1,0.2,2020-05-28 ,0.41,13.8,9.5
2000683-008,2020-07-17 ,0.58,57.7,,,0036 C1 A 2M 1134,1,2,2020-05-28 ,0.32,16.6,11.4
2000683-009,2020-07-18 ,0.37,19.9,,,0037 C1 A 4M 1136,1,4,2020-05-28 ,0.40,15.6,10.5
2000683-010,2020-07-19 ,0.4,22.6,,,0038 C1 A 6M 1138,1,6,2020-05-28 ,0.31,18.8,9.3
2000683-011,2020-07-20 ,0.45,31.2,,,0039 C1 A 8M 1140,1,8,2020-05-28 ,0.31,22.7,10.0
2000683-012,2020-07-21 ,0.53,38.3,,,0040 C3 A .2M 1210,3,0.2,2020-05-28 ,0.29,12.9,8.7
2000683-013,2020-07-22 ,0.6,46.4,0.54,29.3,0041 C3 Q 2M 1212,3,2,2020-05-28 ,0.29,16.4,10
2000744-002,2020-07-23 ,0.44,28.3,,,0042 C2 A .2M 1240,2,0.2,2020-05-28 ,0.31,15.1,8.4
2000744-003,2020-07-24 ,0.5,42.9,,,0043 C2 A 2M 1242,2,2,2020-05-28 ,0.35,18.0,11.0
2000744-004,2020-07-25 ,0.44,20,,,0044 C2 A 4M 1244,2,4,2020-05-28 ,0.38,17.2,8.8
